Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
Europe,3204,1782,713,225,306,411,610,678,1110,1013,1119,1305,1680,2203,2427,2568,2788,2982,3779,3317,3325,3117,3082,3217,3129,2965,3135,3113,3324,62627
Albania,28,9,33,60,68,31,11,2,6,42,71,77,71,76,69,67,103,113,115,122,114,117,123,131,123,143,154,155,125,2359
Belarus,0,0,5,10,30,64,28,80,14,12,27,28,32,64,93,163,211,258,291,171,180,158,201,200,257,259,275,333,383,3827
Bosnia and Herzegovina,0,0,37,43,19,16,22,20,314,84,65,114,183,401,395,368,411,410,408,342,317,373,397,409,392,408,405,391,403,7147
Georgia,0,0,0,0,0,0,0,0,45,50,43,35,34,42,81,86,81,128,92,134,138,147,155,168,168,184,187,195,193,2386
Gibraltar,3,2,1,1,1,1,2,1,1,0,0,0,2,1,1,1,2,1,1,1,1,2,0,1,0,2,0,3,3,35
Holy See,3,3,3,3,2,2,1,2,2,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31
Iceland,38,42,43,43,39,40,42,38,44,41,44,40,43,44,45,49,45,48,44,47,45,42,45,46,47,50,54,52,51,1291
Moldova,0,0,5,1,1,2,3,5,4,3,3,14,13,23,8,11,16,25,27,28,35,39,40,39,45,40,51,52,61,594
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,150,145,206,219,147,75,83,65,65,59,59,59,1516
North Macedonia,0,0,79,51,63,70,51,53,77,62,37,90,108,126,131,136,132,145,136,146,133,135,148,156,145,147,153,151,159,3020
Serbia,0,0,483,0,0,0,180,307,467,451,644,672,747,773,860,653,613,620,690,578,556,585,605,580,594,511,611,576,550,13906
Ukraine,0,0,23,14,83,185,269,171,136,266,184,233,443,651,744,1033,989,1085,1829,1541,1588,1372,1294,1403,1291,1155,1184,1147,1338,21651
USSR,2099,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3186
Yugoslavia,1034,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1672
North America,2253,2356,2271,2489,2827,2510,2763,2864,3410,3315,3321,3377,3199,2985,3509,3589,3809,3902,3805,3896,4366,4542,4444,4520,4981,4698,4873,5098,5114,105086
Canada,2253,2356,2271,2489,2827,2510,2763,2864,3410,3315,3321,3377,3199,2985,3509,3589,3809,3902,3805,3896,4366,4542,4444,4520,4981,4698,4873,5098,5114,105086
South America,668,749,950,872,844,877,1010,1020,900,878,929,984,818,946,911,929,912,1008,963,867,1090,976,1099,1202,986,1056,946,1070,1061,27521
Argentina,508,577,698,649,646,630,712,743,643,650,629,641,529,632,586,596,581,649,576,562,628,592,760,804,562,632,524,627,599,18165
Chile,116,134,204,187,154,200,248,225,198,177,245,276,239,257,257,267,268,286,315,232,384,305,264,320,347,348,352,376,392,7573
Suriname,2,7,3,4,3,8,8,10,11,7,12,11,9,10,17,14,14,14,17,17,16,16,15,19,18,16,15,10,14,337
Uruguay,42,30,46,32,40,39,42,42,48,45,43,57,41,48,51,53,48,58,55,56,62,63,60,60,59,60,55,56,57,1448
